City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lata,40.1629,-8.3327,291.2,52,100,2.26,PT,1739553298
83,invercargill,-46.4,168.35,286.49,98,36,0.45,NZ,1739553300
84,kapa'a,22.0752,-159.319,295.33,94,0,3.6,US,1739553301
85,papao,-17.75,-149.55,299.97,66,77,2.42,PF,1739553302
86,crane,31.3974,-102.3501,284.24,38,24,10.16,US,1739553303
87,alice springs,-23.7,133.8833,293.9,73,100,2.06,AU,1739553304
88,wenchang,30.904,118.4887,279.2,89,100,0.64,CN,1739553305
89,gadzhiyevo,69.2551,33.3362,269.18,60,100,10.11,RU,1739553306
90,arbelaez,4.2725,-74.4151,297.48,71,69,2.89,CO,1739553308
91,fuding,27.3273,120.214,282.31,90,2,0.72,CN,1739553309
92,olonkinbyen,70.9221,-8.7187,269.3,69,98,2.91,SJ,1739553310
93,college,64.8569,-147.8028,257.14,60,75,3.6,US,1739553311
94,cidreira,-30.1811,-50.2056,297.95,68,81,6.07,BR,1739553072
95,baoding,38.8511,115.4903,277.0,18,65,3.11,CN,1739553313
96,ocos,14.5094,-92.1933,301.7,69,28,3.2,GT,1739553314
97,newman,37.3138,-121.0208,284.85,89,50,1.79,US,1739553251
98,atafu village,-8.5421,-172.5159,301.03,73,29,5.14,TK,1739553317
99,pama,11.2497,0.7075,309.51,7,100,4.03,BF,1739553318
100,senj,44.9894,14.9058,276.7,84,100,10.59,HR,1739553319
101,longyearbyen,78.2186,15.6401,263.06,73,75,1.54,SJ,1739553320
102,santa elena de uairen,4.6167,-61.1333,296.88,70,95,1.03,VE,1739553321
103,iqaluit,63.7506,-68.5145,254.09,70,97,8.94,CA,1739553323
104,west island,-12.1568,96.8225,301.14,89,84,3.09,CC,1739553324
105,corner brook,48.9667,-57.9484,271.25,92,100,2.52,CA,1739553325
106,thompson,55.7435,-97.8558,244.75,90,28,2.71,CA,1739553326
107,geraldton,-28.7667,114.6,295.38,46,0,5.14,AU,1739553327
108,kavieng,-2.5744,150.7967,300.73,72,100,2.96,PG,1739553328
109,santa terezinha,-29.9002,-50.0904,297.82,71,98,5.87,BR,1739553329
110,puerto aysen,-45.4,-72.7,289.16,86,98,1.39,CL,1739553330
111,bodo,67.28,14.405,268.58,78,0,4.12,NO,1739553083
112,santiago de cao,-7.9589,-79.2392,297.22,83,100,3.6,PE,1739553333
113,brookings,44.3114,-96.7984,267.14,67,100,8.23,US,1739553334
114,ravar,31.2656,56.8055,284.95,59,2,2.08,IR,1739553335
115,xining,36.6167,101.7667,268.32,47,70,1.9,CN,1739553336
116,arkhangel'sk,64.5401,40.5433,265.21,86,100,3.0,RU,1739553337
117,mogocha,53.7333,119.7667,247.63,100,49,1.45,RU,1739553338
118,chos malal,-37.3781,-70.2709,302.34,5,0,4.14,AR,1739553339
119,sinop,41.7711,34.8709,274.16,80,57,3.95,TR,1739552989
120,kinablangan,7.6947,126.5503,296.63,87,81,1.46,PH,1739553342
121,itaituba,-4.2761,-55.9836,307.61,45,95,0.8,BR,1739553343
122,tarawa,1.419,172.984,299.2,89,20,4.12,KI,1739553344
123,savanna-la-mar,18.219,-78.1332,302.55,46,2,1.9,JM,1739553345
124,mokhsogollokh,61.4681,128.9203,247.92,100,99,0.83,RU,1739553346
125,hawaiian paradise park,19.5933,-154.9731,292.54,82,0,2.06,US,1739553347
126,ancud,-41.8697,-73.8203,289.19,68,52,3.91,CL,1739553223
127,okhotsk,59.3833,143.3,253.96,99,78,4.08,RU,1739553350
128,mathba,22.2855,89.9629,292.6,64,0,2.05,BD,1739553351
129,ermelo,-26.5333,29.9833,290.35,85,100,1.88,ZA,1739553352
130,xilin hot,43.9667,116.0333,266.01,57,0,7.1,CN,1739553353
131,huazhou,21.6333,110.5833,291.65,86,100,4.74,CN,1739553354
132,chibougamau,49.9168,-74.3659,255.94,66,100,6.69,CA,1739553355
133,wailua homesteads,22.0669,-159.378,294.59,94,0,3.6,US,1739553356
134,san luis de la loma,17.2706,-100.8939,302.06,55,36,2.42,MX,1739553358
135,anadyr,64.75,177.4833,262.43,57,0,5.0,RU,1739553127
136,uturoa,-16.7333,-151.4333,301.09,70,100,3.48,PF,1739553360
137,aripuana,-9.1667,-60.6333,299.84,91,89,1.81,BR,1739553361
138,new plymouth,-39.0667,174.0833,291.93,100,31,3.48,NZ,1739553362
139,kudahuvadhoo,2.6708,72.8944,300.41,66,100,6.23,MV,1739553363
140,mossel bay,-34.1831,22.146,293.6,63,1,2.8,ZA,1739553364
141,san jose de jachal,-30.2406,-68.7469,304.59,32,16,4.18,AR,1739553365
142,port alfred,-33.5906,26.891,292.69,78,3,5.75,ZA,1739553367
143,ushuaia,-54.8,-68.3,283.0,81,99,3.45,AR,1739553368
144,road town,18.4167,-64.6167,301.17,69,75,5.66,VG,1739553369
145,kuanda,56.3161,116.0806,251.58,96,100,0.34,RU,1739553370
146,trujillo,-8.116,-79.03,297.13,83,76,3.6,PE,1739553371
147,udomlya,57.8794,34.9925,264.84,91,100,2.2,RU,1739553195
148,labytnangi,66.6572,66.4183,241.89,94,16,0.88,RU,1739553373
149,siloam springs,36.1881,-94.5405,277.9,44,100,5.14,US,1739553374
150,winnipeg,49.8844,-97.147,254.27,79,100,4.47,CA,1739553258
151,albertina,-22.2008,-46.6158,300.62,60,44,1.59,BR,1739553378
152,cururupu,-1.8283,-44.8683,299.44,93,99,1.35,BR,1739553379
153,san carlos,9.6612,-68.5827,309.2,28,100,1.87,VE,1739553380
154,point fortin,10.1833,-61.6833,300.22,70,100,3.24,TT,1739553381
155,sinabang,2.4803,96.3801,299.48,85,100,0.87,ID,1739553382
156,markaz-e hukumat-e darweshan,31.1323,64.1934,285.01,75,99,3.01,AF,1739553384
157,nadi,-17.8,177.4167,298.15,100,75,2.06,FJ,1739553385
158,talnakh,69.4865,88.3972,242.15,99,87,1.75,RU,1739553386
159,newala kisimani,-10.95,39.2833,297.56,67,76,2.19,TZ,1739553387
160,gorom-gorom,14.4439,-0.2361,307.65,9,55,6.13,BF,1739553388
161,luderitz,-26.6481,15.1594,295.43,53,0,12.93,NA,1739553390
162,hasaki,35.7333,140.8333,281.92,51,35,3.63,JP,1739553391
163,levuka,50.1834,-105.4011,250.58,90,100,2.74,CA,1739553392
164,ribeira grande,38.5167,-28.7,283.37,76,40,8.49,PT,1739553393
165,christchurch,-43.5333,172.6333,290.88,87,100,6.69,NZ,1739553261
166,naze,28.3667,129.4833,284.95,70,1,1.36,JP,1739553395
167,fisterra,42.9049,-9.2629,287.16,81,100,11.72,ES,1739553396
168,inirida,3.8653,-67.9239,304.82,57,73,1.61,CO,1739553397
169,sompeta,18.9333,84.6,295.41,79,3,2.29,IN,1739553399
170,st. john's,47.5649,-52.7093,275.36,94,75,10.8,CA,1739553351
171,langepas,61.2544,75.2124,244.38,98,14,1.48,RU,1739553401
172,labasa,-16.4167,179.3833,299.41,86,100,2.26,FJ,1739553402
173,al ghayzah,16.2079,52.176,295.01,77,39,3.16,YE,1739553302
174,coahuayana de hidalgo,18.7,-103.6583,302.66,45,100,1.17,MX,1739553404
